Degree,Frequency,Cumulated Frequency,Cumulated Percentile,Impractical
365,0,17840383,99.9861849408794,2465
366,0,17840383,99.9861849408794,2465
367,0,17840383,99.9861849408794,2465
368,1,17840384,99.9861905453659,2464
369,0,17840384,99.9861905453659,2464
370,0,17840384,99.9861905453659,2464
371,0,17840384,99.9861905453659,2464
372,3,17840387,99.9862073588252,2461
373,0,17840387,99.9862073588252,2461
374,19,17840406,99.9863138440679,2442
375,1,17840407,99.9863194485544,2441
376,1,17840408,99.9863250530409,2440
377,2,17840410,99.9863362620138,2438
378,0,17840410,99.9863362620138,2438
379,0,17840410,99.9863362620138,2438
380,1,17840411,99.9863418665002,2437
381,0,17840411,99.9863418665002,2437
382,0,17840411,99.9863418665002,2437
383,0,17840411,99.9863418665002,2437
384,45,17840456,99.9865940683909,2392
385,0,17840456,99.9865940683909,2392
386,0,17840456,99.9865940683909,2392
387,17,17840473,99.9866893446607,2375
388,0,17840473,99.9866893446607,2375
389,0,17840473,99.9866893446607,2375
390,0,17840473,99.9866893446607,2375
391,2,17840475,99.9867005536336,2373
392,3,17840478,99.986717367093,2370
393,1,17840479,99.9867229715794,2369
394,0,17840479,99.9867229715794,2369
395,0,17840479,99.9867229715794,2369
396,7,17840486,99.9867622029846,2362
397,0,17840486,99.9867622029846,2362
398,1,17840487,99.9867678074711,2361
399,0,17840487,99.9867678074711,2361
400,2,17840489,99.986779016444,2359
401,0,17840489,99.986779016444,2359
402,0,17840489,99.986779016444,2359
403,1,17840490,99.9867846209305,2358
404,0,17840490,99.9867846209305,2358
405,0,17840490,99.9867846209305,2358
406,2,17840492,99.9867958299034,2356
407,0,17840492,99.9867958299034,2356
408,23,17840515,99.9869247330919,2333
409,0,17840515,99.9869247330919,2333
410,0,17840515,99.9869247330919,2333
411,0,17840515,99.9869247330919,2333
412,0,17840515,99.9869247330919,2333
413,0,17840515,99.9869247330919,2333
414,0,17840515,99.9869247330919,2333
415,0,17840515,99.9869247330919,2333
416,0,17840515,99.9869247330919,2333
417,0,17840515,99.9869247330919,2333
418,0,17840515,99.9869247330919,2333
419,0,17840515,99.9869247330919,2333
420,0,17840515,99.9869247330919,2333
421,0,17840515,99.9869247330919,2333
422,0,17840515,99.9869247330919,2333
423,11,17840526,99.986986382443,2322
424,0,17840526,99.986986382443,2322
425,0,17840526,99.986986382443,2322
426,0,17840526,99.986986382443,2322
427,0,17840526,99.986986382443,2322
428,1,17840527,99.9869919869294,2321
429,0,17840527,99.9869919869294,2321
430,0,17840527,99.9869919869294,2321
431,0,17840527,99.9869919869294,2321
432,63,17840590,99.9873450695763,2258
433,0,17840590,99.9873450695763,2258
434,0,17840590,99.9873450695763,2258
435,0,17840590,99.9873450695763,2258
436,1,17840591,99.9873506740628,2257
437,1,17840592,99.9873562785493,2256
438,0,17840592,99.9873562785493,2256
439,0,17840592,99.9873562785493,2256
440,0,17840592,99.9873562785493,2256
441,21,17840613,99.9874739727649,2235
442,0,17840613,99.9874739727649,2235
443,0,17840613,99.9874739727649,2235
444,0,17840613,99.9874739727649,2235
445,0,17840613,99.9874739727649,2235
446,0,17840613,99.9874739727649,2235
447,0,17840613,99.9874739727649,2235
448,5,17840618,99.9875019951972,2230
449,0,17840618,99.9875019951972,2230
450,2,17840620,99.9875132041701,2228
451,0,17840620,99.9875132041701,2228
452,2,17840622,99.987524413143,2226
453,0,17840622,99.987524413143,2226
454,0,17840622,99.987524413143,2226
455,0,17840622,99.987524413143,2226
456,0,17840622,99.987524413143,2226
457,0,17840622,99.987524413143,2226
458,1,17840623,99.9875300176295,2225
459,0,17840623,99.9875300176295,2225
460,1,17840624,99.9875356221159,2224
461,0,17840624,99.9875356221159,2224
462,5,17840629,99.9875636445482,2219
463,0,17840629,99.9875636445482,2219
464,0,17840629,99.9875636445482,2219
465,0,17840629,99.9875636445482,2219
466,0,17840629,99.9875636445482,2219
467,0,17840629,99.9875636445482,2219
468,1,17840630,99.9875692490347,2218
469,0,17840630,99.9875692490347,2218
470,0,17840630,99.9875692490347,2218
471,0,17840630,99.9875692490347,2218
472,0,17840630,99.9875692490347,2218
473,0,17840630,99.9875692490347,2218
474,0,17840630,99.9875692490347,2218
475,0,17840630,99.9875692490347,2218
476,0,17840630,99.9875692490347,2218
477,0,17840630,99.9875692490347,2218
478,0,17840630,99.9875692490347,2218
479,0,17840630,99.9875692490347,2218
480,4,17840634,99.9875916669805,2214
481,0,17840634,99.9875916669805,2214
482,1,17840635,99.987597271467,2213
483,0,17840635,99.987597271467,2213
484,2,17840637,99.9876084804399,2211
485,0,17840637,99.9876084804399,2211
486,0,17840637,99.9876084804399,2211
487,0,17840637,99.9876084804399,2211
488,0,17840637,99.9876084804399,2211
489,0,17840637,99.9876084804399,2211
490,0,17840637,99.9876084804399,2211
491,0,17840637,99.9876084804399,2211
492,0,17840637,99.9876084804399,2211
493,1,17840638,99.9876140849263,2210
494,2,17840640,99.9876252938993,2208
495,0,17840640,99.9876252938993,2208
496,2,17840642,99.9876365028722,2206
497,2,17840644,99.9876477118451,2204
498,4,17840648,99.9876701297909,2200
499,0,17840648,99.9876701297909,2200
500,0,17840648,99.9876701297909,2200
501,0,17840648,99.9876701297909,2200
502,0,17840648,99.9876701297909,2200
503,1,17840649,99.9876757342774,2199
504,34,17840683,99.987866286817,2165
505,0,17840683,99.987866286817,2165
506,0,17840683,99.987866286817,2165
507,0,17840683,99.987866286817,2165
508,0,17840683,99.987866286817,2165
509,0,17840683,99.987866286817,2165
510,0,17840683,99.987866286817,2165
511,1,17840684,99.9878718913035,2164
512,6,17840690,99.9879055182222,2158
513,2,17840692,99.9879167271951,2156
514,3,17840695,99.9879335406545,2153
515,1,17840696,99.987939145141,2152
516,0,17840696,99.987939145141,2152
517,0,17840696,99.987939145141,2152
518,0,17840696,99.987939145141,2152
519,0,17840696,99.987939145141,2152
520,0,17840696,99.987939145141,2152
521,0,17840696,99.987939145141,2152
522,0,17840696,99.987939145141,2152
523,0,17840696,99.987939145141,2152
524,0,17840696,99.987939145141,2152
525,1,17840697,99.9879447496274,2151
526,0,17840697,99.9879447496274,2151
527,0,17840697,99.9879447496274,2151
